person_name,user_name,email,personal_number,birth_date,address,phone,mac_address,ip_address,iban,accessed_at,session_duration,download_speed,upload_speed,consumed_traffic,unique_id
Gheorghiță Mocanu,gheorghițămocanu,gheorghițămocanu@zzup.ro,5121113333204,1984-12-20,"Strada Oprea Nr. 843 Bl. 64  Sc. 64 Ap. 438, Bragadiru, 830906",0731 670 308,da:46:03:ef:1d:3e,163.89.58.57,RO65BTVB5810334712063189,2025-04-08 17:27:35,25923,524,291,221153,78e1dbd7-9107-4c8c-9605-6a621fb3b955
Casian Suciu,casiansuciu,casiansuciu@gmail.com,8210814177317,1963-09-12,"Bulevardul Smaranda Manole Nr. 12 Bl. 37  Sc. 53 Ap. 740, Vicovu de Sus, 546144",0764 532 278,82:c0:b1:92:8c:6c,141.14.74.136,RO24KERU8237181405304831,2025-04-08 17:27:35,35199,322,427,78616,69cbda53-eaab-4bb0-b02d-87436155a82f
Aneta Florea,anetaflorea,anetaflorea@kappa.ro,1410714382409,1916-09-05,"Bulevardul Eftimia Cristea, Curcani, 212152",0265 510 581,2a:ba:4d:c4:fe:b5,36.180.213.136,RO64XBYN0974819895968149,2025-04-08 17:27:35,25141,891,273,1423445,13715cbb-bea3-4f00-9227-ed5fac00835e
Marilena Ionescu,marilenaionescu,marilenaionescu@zzup.ro,6070224310834,1924-11-08,"Intrarea Dochioiu, Santana, 432831",0785 606 189,3e:7c:e6:02:3e:a0,36.149.26.124,RO09GZBE1187406114306196,2025-04-08 17:27:35,26905,179,504,1256175,a0108fb2-292e-4265-b468-161af14eda1b
Virginia Oprea,virginiaoprea,virginiaoprea@gmail.com,6020123207184,1972-07-05,"Soseaua Sinică Gheorghiu, Targu Ocna, 443953",0254 334 971,e2:39:dc:5c:6e:23,115.104.28.30,RO98QROJ1284600574874011,2025-04-08 17:27:35,9659,209,614,923169,a9fa1357-370b-417e-a1f0-30d5edf84dd1
Octavian Toma,octaviantoma,octaviantoma@email.ro,2021027071282,1984-09-12,"Drumul Dinu, Valea Mare (Negresti), 197784",0249 735 863,00:22:26:e0:a9:f2,102.147.6.33,RO95VLGD2829232558673513,2025-04-08 17:27:35,2244,525,94,910844,26a3b0b7-6915-4626-8535-01c8c4b4c7e6
Stancu Mazilescu,stancumazilescu,stancumazilescu@141.ro,4530316298276,2006-02-21,"Drumul Diaconu Nr. 49, Maieru, 770502",0743 958 165,ec:b4:98:8e:18:1d,27.127.25.74,RO36ARVP0641988867652391,2025-04-08 17:27:35,28288,130,51,1321885,8a11c3e4-b53a-4bd5-9f11-d7b89d849ebd
Oliviu Ioniță,oliviuioniță,oliviuioniță@kappa.ro,5020918194951,1979-07-23,"Soseaua Stan, Baraolt, 669480",0251 702 347,d4:bb:6f:65:ea:3a,88.107.68.111,RO81PBIV2084331146577224,2025-04-08 17:27:35,18807,438,518,698445,a86d107d-6876-4cef-93e6-626fb946dff8
Anuța Albu,anuțaalbu,anuțaalbu@acasa.ro,5191208310908,1928-12-11,"Strada Silvian Voinea, Baia Mare, 322848",0245 367 325,c6:35:93:99:f8:df,47.173.139.249,RO23FLYC5847088230472404,2025-04-08 17:27:35,23027,34,75,1061849,7610298a-883e-4736-8240-6af72d1dfb32
Ariadna Ioniță,ariadnaioniță,ariadnaioniță@acasa.ro,2990725259111,2023-07-07,"Soseaua Diaconescu, Dancu, 631713",0249 842 214,76:92:42:cf:ac:a7,168.89.94.198,RO61YZNT4402101552441694,2025-04-08 17:27:35,3392,182,781,266777,a05c6785-cac2-4363-830c-d9c704cd715e
Dana Georgescu,danageorgescu,danageorgescu@kappa.ro,8420401461825,1967-08-02,"Bulevardul Nistor Nr. 67 Bl. 84  Sc. 78 Ap. 700, Hunedoara, 676539",0770 867 418,0c:d9:e4:43:2d:b8,190.169.39.5,RO53KHJE5605659165138077,2025-04-08 17:27:35,5452,289,661,380480,75d7219c-0e39-48bc-a05f-b6e2bebc7b6e
Adina Dobre,adinadobre,adinadobre@kappa.ro,2001008089521,1951-04-29,"Strada Tabacu, Gilau, 297438",0738 003 488,b0:65:5d:f1:8b:74,89.235.75.210,RO83SLPY5987468239295267,2025-04-08 17:27:35,18905,3,282,1786372,799ee9d0-1fa7-4f0b-b2b3-a5208476f820
Cătălin Tomescu,cătălintomescu,cătălintomescu@141.ro,1910212066051,2001-07-05,"Strada Diaconescu, Babadag, 832960",0755 361 993,cc:c3:9b:dd:d3:a1,109.51.8.104,RO29EMDL9435250304563006,2025-04-08 17:27:35,6811,659,116,695611,2d2198cd-9de3-4924-a4bc-f9ba3e3d5286
Vladimir Aanei,vladimiraanei,vladimiraanei@141.ro,6731219034550,1917-06-30,"Bulevardul Dumitrescu Nr. 273 Bl. 41  Sc. 77 Ap. 719, Constanta, 474942",0265 004 498,70:30:6f:4b:23:e1,17.183.124.173,RO64ZEPT7254030570019349,2025-04-08 17:27:35,3783,81,343,1781193,87667e22-01d5-4889-a477-24c3f1099578
Nora Toma,noratoma,noratoma@gmail.com,2650608226773,2016-07-15,"Bulevardul Ardelean Nr. 486, 1 Decembrie, 788993",0736 740 528,a6:9c:d1:eb:2d:80,96.131.65.228,RO36IIKE0188259293959458,2025-04-08 17:27:35,8058,330,417,225070,b87ff3a7-31cd-4ed2-a01a-e189cc54a41b
Marioara Aanei,marioaraaanei,marioaraaanei@email.ro,7630320512925,1951-03-30,"Intrarea Ariana Voinea, Calan, 146631",0766 884 572,a4:ee:20:1e:c6:2e,137.59.178.196,RO47MYRA9405892419458845,2025-04-08 17:27:35,16502,346,278,111097,89fcc5f7-4ac2-4de1-82ae-a0a8527a78c6
